FUNCAO;DIMENSAO;MEDIA\n
Instances/ack.mod ;;10;0.8480828263
Instances/ap.mod ;;2;-0.3523860738
Instances/bf1.mod ;;2;0
Instances/bf2.mod ;;2;0
Instances/bhs.mod ;;2;-3.356098488
Instances/bl.mod ;;2;0
Instances/bp.mod ;;2;0.3978873577
Instances/cb3.mod ;;2;2.529608034e-61
Instances/cb6.mod ;;2;-1.031628453
Instances/cm2.mod ;;2;-2.2
Instances/cm4.mod ;;4;-4.4
Instances/da.mod ;;2;-24776.51834
Instances/em_10.mod ;;10;-5.223215466
Instances/em_5.mod ;;5;-3.694589796
Instances/ep.mod ;;2;-1
Instances/exp.mod ;;10;0.006737946999
Instances/fls.mod ;;2;-2.021806783
Instances/fr.mod ;;2;65.67594123
Instances/fx_10.mod ;;10;-0.3582186059
Instances/fx_5.mod ;;5;-1.728804703
Instances/gp.mod ;;2;3
Instances/gw.mod ;;10;5.16503476
Instances/h3.mod ;;3;-3.858049362
Instances/h6.mod ;;6;-3.269044113
Instances/hm1.mod ;;1;0
Instances/hm2.mod ;;1;-4.81446989
Instances/hm3.mod ;;1;-2.267543938
Instances/hm4.mod ;;2;2.085505768e-17
Instances/hm5.mod ;;3;7.774918336e-24
Instances/hm.mod ;;2;4.651012242e-08
Instances/hsk.mod ;;2;-2.345811576
Instances/hv.mod ;;3;5.248437158e-52
Instances/ir0.mod ;;4;1500150.004
Instances/ir1.mod ;;3;8.15264014e-22
Instances/ir2.mod ;;2;0.7662979177
Instances/ir3.mod ;;5;5
Instances/ir4.mod ;option randseed 3080952742;
;30;1.271613715
Instances/ir5.mod ;;2;0.00199975003
Instances/kl.mod ;;4;0.00031840784
Instances/ks.mod ;;1;0
Instances/lm1.mod ;;3;1.036690203
Instances/lm2_10.mod ;;10;0.0216370245
Instances/lm2_5.mod ;;5;1.444424212e-05
Instances/lv8.mod ;;3;1.499660722e-32
Instances/mc.mod ;;2;-1.913222955
Instances/mcp.mod ;;4;0.0006605293517
Instances/mgp.mod ;;2;2.777588773e-11
Instances/mgw_10.mod ;;10;0.03969578705
Instances/mgw_20.mod ;;20;0.2321363679
Instances/mgw_2.mod ;;2;0
Instances/ml_10.mod ;;10;-1.897656994e-22
Instances/ml_5.mod ;;5;-0.9074872159
Instances/mr.mod ;;3;0.003617751608
Instances/mrp.mod ;;2;1.232595164e-32
Instances/nf2.mod ;;4;0.01228932241
Instances/nf3_10.mod ;;10;-149.6212124
Instances/nf3_15.mod ;;15;14540.82233
Instances/nf3_20.mod ;;20;98849.6584
Instances/nf3_25.mod ;;25;267480.1839
Instances/nf3_30.mod ;;30;1010537.992
Instances/osp_10.mod ;;10;-1.622078573e-11
Instances/osp_20.mod ;;20;-8.355911962e-24
Instances/prd.mod ;;2;1
Instances/ptm.mod ;;9;368.1053087
Instances/pwq.mod ;;4;7.907700783
Instances/rb.mod ;;10;1193.85752
Instances/rg_10.mod ;;10;11.33740253
Instances/rg_2.mod ;;2;0
Instances/s10.mod ;;4;-3.835426803
Instances/s5.mod ;;4;-10.15304905
Instances/s7.mod ;;4;-10.22491648
Instances/sal_10.mod ;;10;1.799873346
Instances/sal_5.mod ;;5;1.199873346
Instances/sbt.mod ;;2;-186.7309088
Instances/sf1.mod ;;2;0.009715909878
Instances/shv1.mod ;;1;-1
Instances/shv2.mod ;;2;-1.776356839e-15
Instances/sin_10.mod ;;10;-0.7143690388
Instances/sin_20.mod ;;20;-0.05715199391
Instances/st_17.mod ;;17;168352932.6
Instances/st_9.mod ;;9;10135.47271
Instances/stg.mod ;;1;0
Instances/swf.mod ;;10;-2972.07318
Instances/sz.mod ;;1;-12.03124944
Instances/szzs.mod ;;1;-1.601307546
Instances/wf.mod ;;4;0.0002911758369
Instances/xor.mod ;;9;0.8728440694
Instances/zkv_10.mod ;;10;64.12139064
Instances/zkv_20.mod ;;20;207.7063486
Instances/zkv_2.mod ;;2;1.577234697e-67
Instances/zkv_5.mod ;;5;0.0001970840242
Instances/zlk1.mod ;;1;-1.905961119
Instances/zlk2a.mod ;;1;-1.125
Instances/zlk2b.mod ;;1;-1.125
Instances/zlk3a.mod ;;1;-1
Instances/zlk3b.mod ;;1;-1
Instances/zlk3c.mod ;;1;-1
Instances/zlk4.mod ;;2;0.3978876938
Instances/zlk5.mod ;;3;-3.858049362
Instances/zzs.mod ;;1;-0.8242389263
